cntry_name,cntry_iso,bcm_sum_up,flr_cnt_up,bcm_sum_dn,flr_cnt_dn,bcm_sum_al,flr_cnt_al
Russian Federation,RUS,21.12984806,2226,0.474932601,84,21.60478066,2310
Iraq,IRQ,16.05008171,223,0.180884634,8,16.23096634,231
Iran,IRN,12.0392376,429,1.008287617,13,13.04752522,442
United States,USA,11.79659548,9199,0.506918998,154,12.30351448,9353
Venezuela,VEN,9.240824808,180,0.908150312,16,10.14897512,196
Algeria,DZA,8.37110689,328,1.507656507,14,9.878763397,342
Nigeria,NGA,7.482473462,203,0.18552411,5,7.667997572,208
Mexico,MEX,4.983889948,236,1.16271188,15,6.146601828,251
Angola,AGO,4.123785429,68,0.051245327,2,4.175030756,70
Malaysia,MYS,3.532833661,81,0.493982477,12,4.026816138,93
Kazakhstan,KAZ,3.670425345,272,0.014311343,2,3.684736688,274
Egypt,EGY,2.752761444,199,0.326779296,21,3.07954074,220
Indonesia,IDN,2.647325345,272,0.430017341,13,3.077342686,285
Saudi Arabia,SAU,2.112931458,528.5,0.68840924,21,2.801340698,549.5
Libya,LBY,2.248932094,135,0.509247399,8,2.758179493,143
India,IND,2.166680675,171,0.55488668,39,2.721567355,210
China,CHN,2.047993533,1106,0.476261437,182,2.52425497,1288
Oman,OMN,2.379561262,234,0.034630922,4,2.414192184,238
Canada,CAN,1.798575884,2625,0.16599325,28,1.964569134,2653
Turkmenistan,TKM,1.824811521,169,0.037573601,1,1.862385122,170
Gabon,GAB,1.546260692,60,0,0,1.546260692,60
Brazil,BRA,1.324519481,247,0.21894395,19,1.543463431,266
Qatar,QAT,0.793352755,37,0.628307452,14,1.421660207,51
United Kingdom,GBR,1.306473194,102,0.079994343,18,1.386467537,120
Congo,COG,1.184686596,38,0,1,1.184686596,39
United Arab Emirates,ARE,0.821754013,80,0.358696683,7,1.180450696,87
Australia,AUS,0.995585106,203,0.12922466,5,1.124809766,208
Uzbekistan,UZB,1.107726811,147,0.003065971,2,1.110792782,149
Ecuador,ECU,1.045447427,95,0.03766894,2,1.083116367,97
Cameroon,CMR,1.074366644,31,0,0,1.074366644,31
Vietnam,VNM,1.025560017,33,0,0,1.025560017,33
Kuwait,KWT,0.881217469,64.5,0.128775798,7,1.009993267,71.5
Colombia,COL,0.814791179,129,0.001216573,1,0.816007752,130
Argentina,ARG,0.645480625,356,0.119511764,16,0.764992389,372
Yemen,YEM,0.560326187,43,0.098774313,1,0.6591005,44
Equatorial Guinea,GNQ,0.551866223,12,0.02943284,1,0.581299063,13
Syria,SYR,0.506864158,90,0.045474812,2,0.55233897,92
Sudan,SDN,0.54552431,21,0,1,0.54552431,22
Tunisia,TUN,0.481373702,57,0.035597965,3,0.516971667,60
Thailand,THA,0.424957182,41,0.055632597,13,0.480589779,54
Pakistan,PAK,0.475675884,106,0.004618647,4,0.480294531,110
Norway,NOR,0.302357879,60,0.081640629,12,0.383998508,72
Trinidad and Tobago,TTO,0.142883254,8,0.151349938,3,0.294233192,11
Peru,PER,0.218637002,30,0.05886735,4,0.277504352,34
Chad,TCD,0.242393828,6,0.000695082,1,0.24308891,7
Philippines,PHL,0.168081442,3,0.071892219,5,0.239973661,8
Ukraine,UKR,0.233065487,102,0.003233286,4,0.236298773,106
South Africa,ZAF,0.023902882,4,0.211237761,12,0.235140643,16
Brunei Darussalam,BRN,0.115613336,7,0.104038304,5,0.21965164,12
Azerbaijan,AZE,0.19704094,13,0.021724493,3,0.218765433,16
Democratic Republic of the Congo,COD,0.212876674,12,0,0,0.212876674,12
Cuba,CUB,0.08071643,6,0.076173944,4,0.156890374,10
Ghana,GHA,0.130633619,4,0.002567272,1,0.133200891,5
New Zealand,NZL,0.125535065,23,0.002855941,1,0.128391006,24
France,FRA,0.02343702,5,0.092514642,24,0.115951662,29
Denmark,DNK,0.103107251,10,0.002753443,2,0.105860694,12
Spain,ESP,0.010571835,1,0.076284486,18,0.086856321,19
Australia/Indonesia,TLS,0.086112074,3,0,0,0.086112074,3
Cote d'Ivoire,CIV,0.079690515,5,0.003905241,1,0.083595756,6
Papua New Guinea,PNG,0.054280595,7,0.023312552,2,0.077593147,9
Belarus,BLR,0.009773881,4,0.054186025,5,0.063959906,9
Myanmar,MMR,0.057004418,4,0.004578892,1,0.06158331,5
Japan,JPN,0.002024174,1,0.053545482,29,0.055569656,30
Bolivia,BOL,0.05285205,29,0.002217255,1,0.055069305,30
Niger,NER,0.052612661,3,0,0,0.052612661,3
Chile,CHL,0.047285117,35,0.00397604,3,0.051261157,38
Romania,ROU,0.033587906,12,0.017095369,3,0.050683275,15
Belgium,BEL,0,0,0.047852411,14,0.047852411,14
Turkey,TUR,0.015344956,2,0.030454859,5,0.045799815,7
Italy,ITA,0.001586993,4,0.042561368,17,0.044148361,21
Mauritania,MRT,0.042741941,2,0,0,0.042741941,2
Netherlands,NLD,0.00771292,7,0.034613484,18,0.042326404,25
Bahrain,BHR,0.039122128,15,0.001311002,2,0.04043313,17
Poland,POL,0.016111154,13,0.02101703,6,0.037128184,19
Guatemala,GTM,0.035697005,2,0,0,0.035697005,2
Curacao,CUW,0,0,0.032960484,1,0.032960484,1
Bangladesh,BGD,0.028202954,6,0.001454978,1,0.029657932,7
Germany,DEU,0,1,0.029035985,18,0.029035985,19
Greece,GRC,0,0,0.027644659,3,0.027644659,3
Sri Lanka,LKA,0,0,0.02760632,1,0.02760632,1
Taiwan,TWN,0.025036045,5,0.000967613,3,0.026003658,8
South Korea,KOR,0,1,0.02191828,12,0.02191828,13
Singapore,SGP,0,0,0.021909243,11,0.021909243,11
Albania,ALB,0.018491656,2,0.000854348,1,0.019346004,3
Mongolia,MNG,0.018184509,3,0,0,0.018184509,3
Hungary,HUN,0.003760484,10,0.013260943,5,0.017021427,15
Sweden,SWE,0.000995325,1,0.015968017,5,0.016963342,6
Serbia,SRB,0.014614506,3,0.002235715,3,0.016850221,6
Finland,FIN,0,0,0.016558861,5,0.016558861,5
Croatia,HRV,0.008110913,13,0.006048617,4,0.01415953,17
Senegal,SEN,0,0,0.013126045,1,0.013126045,1
Portugal,PRT,0,0,0.012750608,6,0.012750608,6
Morocco,MAR,0,1,0.011116421,1,0.011116421,2
Slovakia,SVK,0,0,0.009118979,4,0.009118979,4
Bulgaria,BGR,0,0,0.00713727,1,0.00713727,1
Zambia,ZMB,0,0,0.006730672,1,0.006730672,1
Jordan,JOR,0.000531853,2,0.004766546,1,0.005298399,3
Kyrgyzstan,KGZ,0,0,0.005273531,1,0.005273531,1
Czech Republic,CZE,0,1,0.00504636,4,0.00504636,5
Mozambique,MOZ,0.004691431,3,0,0,0.004691431,3
Jamaica,JAM,0,0,0.004607159,1,0.004607159,1
Georgia,GEO,0.003110038,1,0,0,0.003110038,1
Lithuania,LTU,0,0,0.002831697,2,0.002831697,2
Uruguay,URY,0,0,0.002476771,1,0.002476771,1
Bosnia and Herzegovina,BIH,0,0,0.002257812,1,0.002257812,1
Estonia,EST,0,0,0.001841625,1,0.001841625,1
Austria,AUT,0.000374506,1,0.001386838,1,0.001761344,2
North Korea,PRK,0,0,0.000963785,1,0.000963785,1
Palestinian Territory,PSE,0.000661449,1,0,0,0.000661449,1
Israel,ISR,0,1,0.000539567,1,0.000539567,2
Dominican Republic,DOM,0,0,0.000445212,1,0.000445212,1
Switzerland,CHE,0,0,0.000246888,3,0.000246888,3
Tanzania,TZA,0.000139789,2,0,0,0.000139789,2
