cntry_name,cntry_iso,bcm_sum_up,flr_cnt_up,bcm_sum_dn,flr_cnt_dn,bcm_sum_al,flr_cnt_al,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,20.3923911,1246,1.373271689,80,21.76566282,1326,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,IRN,17.2778205,310,1.270805327,15,18.54862585,325,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,IRQ,17.8212491,191,0.18505005,6,18.00629912,197,,,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,14.0281035,3696,0.47262417,98,14.50072765,3794,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,8.60593316,197,1.038575466,14,9.644508625,211,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,VEN,8.22492863,129,1.277114387,19,9.502043012,148,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,NGA,7.29201396,162,0.197957483,6,7.489971448,168,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,LBY,4.42250933,99,0.353055189,7,4.775564522,106,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,MEX,3.89254728,124,0.755801935,17,4.648349219,141,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,SAU,2.28997127,257,0.675282162,22,2.965253428,279,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,2.7574419,47,0.029121346,1,2.786563242,48,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,OMN,2.517365,148,0.119863275,6,2.637228277,154,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,MYS,2.16881885,58,0.407662742,12,2.576481596,70,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,EGY,2.21380226,118,0.268793666,18,2.482595927,136,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,1.87970199,165,0.309576316,13,2.189278309,178,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,KAZ,2.04948267,141,0.019837127,3,2.069319794,144,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,1.82248514,515,0.230276791,100,2.052761935,615,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,1.33578203,91,0.52984061,43,1.865622645,134,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,COG,1.58244222,30,0,0,1.582442215,30,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,1.5049388,59,0.011997866,2,1.516936664,61,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,1.32513003,601,0.12938277,21,1.454512799,622,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,1.37532395,53,0,0,1.375323951,53,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,0.78004073,32,0.555163944,17,1.335204676,49,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,0.97580343,63,0.322646383,8,1.298449815,71,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,1.212379,74,0.051398989,15,1.263777986,89,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,1.00198423,83,0.214365619,20,1.216349846,103,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,1.0600651,27,0,0,1.060065103,27,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,0.87326055,48,0.124368341,7,0.997628895,55,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,0.90239181,67,0.035562216,2,0.937954028,69,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,0.77276698,89,0.113136536,11,0.885903519,100,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,VNM,0.74140432,29,0.052623178,1,0.794027495,30,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,0.69961275,170,0.094062995,15,0.79367574,185,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,UZB,0.7879207,83,0.004667635,2,0.792588338,85,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,SYR,0.69450909,50,0.040800194,2,0.735309285,52,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,0.53084786,52,4.5911E-05,1,0.530893771,53,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,YEM,0.44501303,18,0.027749446,1,0.47276248,19,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,SDN,0.36151249,13,0.005887625,1,0.367400112,14,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,THA,0.32761817,25,0.018143218,4,0.345761392,29,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,TUN,0.28805742,31,0.038473916,3,0.326531337,34,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,0.29906286,9,0.021018773,1,0.320081638,10,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,0.29891238,55,0.014991302,3,0.313903679,58,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,ZAF,0.02981267,1,0.245524387,12,0.275337055,13,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,0.1959988,13,0.052321811,3,0.248320612,16,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,0.07562753,8,0.153130139,3,0.228757674,11,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,BRN,0.171248,5,0.053855475,3,0.225103478,8,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,TCD,0.20909295,7,0,0,0.209092949,7,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,NOR,0.17818305,34,0.02560073,7,0.203783779,41,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,GHA,0.17735097,5,0.002569227,1,0.179920197,6,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,UKR,0.15448879,54,0.009048074,4,0.163536859,58,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,COD,0.15550257,8,0,0,0.155502572,8,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,PER,0.09319761,12,0.034986296,4,0.128183908,16,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,PHL,0.11458369,2,0.012784505,2,0.127368197,4,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,0.10539949,7,0.003066423,2,0.108465913,9,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,0.00674282,1,0.087349911,12,0.094092735,13,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,0.00807062,3,0.074800455,16,0.082871076,19,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,0.08044289,12,0,0,0.080442892,12,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,0.00556941,1,0.067227041,4,0.07279645,5,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,0.04903839,15,0.017286401,5,0.066324796,20,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,JPN,0,0,0.0655093,27,0.0655093,27,,,,,,,,,,,,,,,,,,,,,,,,,
Australia - East Timor,TLS,0.06510434,2,0,0,0.065104338,2,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,0.06162134,13,0.002093045,1,0.063714388,14,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,0.04530534,14,0.01506528,2,0.060370624,16,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,0.05896517,3,0,0,0.058965166,3,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,POL,0.04376025,12,0.014947466,4,0.058707717,16,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory Coast,CIV,0.0534075,4,0.003128619,1,0.056536118,5,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,0.01291168,2,0.036785356,3,0.049697036,5,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,PNG,0.02225198,5,0.026179999,2,0.048431981,7,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,0.02773969,8,0.011264786,2,0.039004481,10,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,0.03323047,2,0,0,0.033230473,2,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,TUR,0.01173324,3,0.019887802,4,0.031621045,7,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,TWN,0.03009316,5,0.001348588,2,0.031441751,7,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,ITA,0.0009065,1,0.030225765,10,0.031132268,11,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,KOR,0,0,0.030243306,11,0.030243306,11,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,MMR,0.02643869,2,0.003209369,1,0.029648056,3,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,0.0049592,4,0.022652709,11,0.027611904,15,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,HRV,0.02172087,13,0.004742095,2,0.026462965,15,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,SUR,0,0,0.02380722,1,0.02380722,1,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,NLD,0.00625204,5,0.013016787,6,0.019268827,11,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,ROU,0.01543314,10,0.00374377,1,0.019176912,11,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,0.00949995,2,0.008808216,3,0.018308168,5,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,0,0,0.016420705,9,0.016420705,9,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,SEN,0,0,0.015954794,1,0.015954794,1,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,PRT,0,0,0.012321331,3,0.012321331,3,,,,,,,,,,,,,,,,,,,,,,,,,
